ID,Organization,Role,Location,Status,Commitment_Type,Application_Date,Interview_Date,Start_Date,Last_Updated,Next_Action,Follow_Up_Date,Source_URL,Notes
1,BASES - Family Thrift Store,Family Thrift Store Volunteer - Customer Service,"101-1001 Columbia Street, New Westminster, BC",Currently volunteering,Ongoing - 4 hours weekly,,,,2026-07-22,Continue regular volunteer shifts,,https://www.volunteerconnector.org/new-westminster/burnaby-association-for-south-east-sidebases,Current position.
2,Union Gospel Mission,Regular Volunteer - Placement not confirmed,Vancouver / New Westminster,Interview completed,Recurring schedule not confirmed,,,,2026-07-22,Wait for the interview result and follow up if no response,,https://uniongospelmission.goldenvolunteer.com/,Application submitted and interview completed; exact program and location need confirmation.
3,City of New Westminster - New Media Gallery,Gallery Host,"Anvil Centre, 777 Columbia Street, New Westminster, BC",Interested,Recurring schedule to confirm,,,,2026-07-22,Apply and ask whether Gallery Host shifts are recurring during exhibitions,,https://app.betterimpact.com/PublicOrganization/e24e1756-a3cc-4c46-baad-e190c435e0d0/Gvi/f5435a9d-a611-423e-92dc-4d40c215b01d/1,Customer-facing role greeting visitors and providing gallery information; public listing does not state a minimum commitment.
4,Fraser Health - Burnaby Hospital,Wayfinding Volunteer,"3935 Kincaid Street, Burnaby, BC",Interested,Recurring - one weekly shift for 8 months,,,,2026-07-22,Apply for a recurring Wayfinding shift,,https://app.betterimpact.com/PublicOrganization/889dcdf3-7534-4993-8d14-c156e3e0c405/1,Minimum commitment is one 3-hour shift per week for 8 months; openings listed as weekdays 4-8 p.m. or 7-10 p.m. as of May 2026.
5,City of Burnaby - Bonsor 55+ Centre,Coffee Bar Host,"6533 Nelson Avenue, Burnaby, BC",Submitted,Recurring weekly shift to confirm,2026-07-22,,,2026-07-22,Check confirmation email and ask whether a regular weekly Coffee Bar Host shift is available,2026-07-29,https://app.betterimpact.com/PublicOrganization/d24460ef-6ade-4c20-834f-a8f233716628/Gvi/1a7e501a-e9ee-4e59-b603-d23c468f0af8/1,MyImpactPage displayed Application Complete. The form did not list Food Services as a selectable interest; the written motivation specifically named the Coffee Bar Host role.
6,City of New Westminster - Century House,Connections Cafe - Cashier / Customer Service,"620 Eighth Street, New Westminster, BC",Sept. 22 session cancelled; waiting for next session,Ongoing - 6-month minimum; weekdays required,2026-07-22,,,2026-09-22,Wait for the coordinator reply about the next information/interview session; follow up if no response. Reference forms and introductory video are still needed before attending.,2026-09-29,https://app.betterimpact.com/PublicOrganization/e24e1756-a3cc-4c46-baad-e190c435e0d0/Gvi/b9ee7df9-1de6-4da9-9fb6-c18e5914b848/1,"MyImpactPage confirmed registration on July 29 for the group Information / Interview Session on Thursday, Aug. 6, 5:30-7:00 p.m. at Century House. Bring or email two completed reference forms and watch the introductory video before attending. User could not attend the Aug. 6 session and wants to reapply (Sept. 13, 2026). The posting was still listed on Better Impact on Sept. 13, 2026 with no session dates shown. On Sept. 13, 2026, MyImpactPage showed Scheduled - Confirmed for the group Volunteer Interview and Information Session-Adults on Tuesday, Sept. 22, 2026, 5:30-7:00 p.m. at Century House. This group session is the interview step; the user has not done an interview yet. On Sept. 22, 2026, the Decline option no longer appeared in MyImpactPage Schedule (likely past the cancellation deadline). The user emailed the coordinator to say they could not attend the Sept. 22 session and asked about another session. The interview has still not been done."
7,Vancouver International Film Festival (VIFF),2026 Festival Volunteer - Team not selected,"VIFF Centre and festival venues, Vancouver",Not interested - one-time event,"Festival role; Oct. 1-11, 2026; team and shift commitment to confirm",,,,2026-07-29,No further action,,https://viff.org,"VIFF emailed pending-team volunteers on July 28. Shiftboard was not ready yet; an early-access application link was expected later that week or the following week. Customer-facing teams included Venue Operations, Ticketing, and Guest Experience. This appears to be a one-time festival opportunity rather than recurring volunteer work, so it is no longer being pursued."
8,You N Me Cafe,Community Cafe Volunteer,"New Westminster, BC",No response received,Recurring schedule and duties unconfirmed,,,,2026-07-29,No further action requested,,https://www.volunteerconnector.org/new-westminster/you-n-me-cafe,User previously contacted the organization and has not received a reply.
9,Friends of the Vancouver Public Library,book’mark Store Volunteer,"Central Branch, 350 West Georgia Street, Vancouver, BC",Resume emailed; awaiting response,Minimum 6 months; one 4-hour shift weekly,2026-07-29,,,2026-07-29,Wait for a response about book’mark volunteer availability,,https://www.friendsofthevpl.ca/get-involved/volunteer/,"Community membership purchased and book’mark volunteer interest selected in the membership application; automatic renewal was disabled. Updated resume emailed to Friends of the VPL on July 29, 2026; awaiting a response about availability."
10,Nikkei National Museum & Cultural Centre,Visitor Service / Gallery Monitor / Bookstore Volunteer,"6688 Southoaks Crescent, Burnaby, BC",Not interested - personal environment preference,Recurring schedule to confirm,,,,2026-07-29,No further action,,https://centre.nikkeiplace.org/volunteer/,"User visits the centre regularly in a private capacity and prefers a volunteer environment with more English interaction, so this option will not be pursued."
